Training file read
Movie User Rating Prediction
8 573364  1.0 3.088410711927952
8 2149668  3.0 3.164394152577488
8 1089184  3.0 2.549044825835866
8 2465894  3.0 2.813262670596346
8 534508  1.0 2.7959389561044157
8 992921  4.0 2.886063470067194
8 595054  4.0 2.8696714169517037
8 1298304  4.0 3.759125633137048
8 1661600  4.0 3.522190553005384
8 553787  2.0 3.13121140924537
8 1309839  3.0 2.7754908405676515
8 727242  1.0 0.8365747504523378
8 1437668  4.0 2.7041806268403126
8 2170930  1.0 1.0
8 1780876  5.0 3.673616665664483
8 9660  3.0 3.1470258063597836
8 2379200  4.0 3.1190539634481893
8 563186  5.0 2.9266642621378804
8 1539617  4.0 3.0825610005513817
8 1656839  1.0 2.8994872641678726
8 2591126  4.0 3.8039207985147643
8 2455107  3.0 3.1501653717318527
8 1079943  5.0 3.8546996062424697
8 2308589  4.0 3.0882933426897985
8 254671  4.0 3.916003616188507
8 2633545  3.0 2.7956236657466107
8 1589111  2.0 3.8285253270597686
8 320540  4.0 3.108890521342398
8 1769901  3.0 3.3923573262668776
8 155279  3.0 2.4003079648187766
8 2448620  3.0 2.5709180103668685
8 1922607  3.0 3.305958344812368
8 1388257  3.0 2.7821346370738502
8 613651  4.0 2.623704853240569
8 900685  3.0 3.5683146234059113
8 1962892  4.0 4.2566024339756785
8 1588471  5.0 4.02163220097662
8 152955  3.0 3.2333905037064685
8 1071775  3.0 3.3482439668601134
8 2490049  2.0 3.33566945710609
8 1029578  4.0 3.4246621533841046
8 1116113  4.0 3.5745316140230785
8 400756  2.0 2.957308688416828
8 1181035  5.0 3.3497740073535014
8 2596310  1.0 3.1549335009351034
8 1716520  2.0 3.588800417517083
8 450465  3.0 2.9111722375355553
8 927007  4.0 2.470985599224635
8 1703380  3.0 3.003409654878415
8 448155  4.0 2.999102388114487
8 1598457  2.0 2.9484357524046603
8 807237  3.0 3.20235565107062
8 1089865  3.0 3.560207894569104
8 1917585  3.0 3.669669111491262
8 760129  4.0 3.772034229089456
8 500322  3.0 3.440238525328023
8 1403170  1.0 3.262463541819168
8 1631898  2.0 3.7504027494185856
8 1088920  4.0 2.9406457076970867
8 1216843  1.0 3.1592502017813846
8 394189  2.0 2.9282378384616004
8 1473381  5.0 3.982450714950498
8 803330  4.0 3.4093395804717033
8 1695799  4.0 3.068979595811369
8 556100  5.0 3.0195587926635374
8 1557449  4.0 3.2200396798273117
8 2090369  3.0 3.445798306245138
8 2152930  2.0 2.4909315805057353
8 1335436  4.0 3.7068172732443756
8 1466743  5.0 3.0868792557188525
8 264988  3.0 3.993949329997499
8 1471593  2.0 3.1425039820929674
8 1288346  1.0 2.3490648260125147
8 867716  1.0 2.6541205347368053
8 2160334  2.0 3.8173204473016966
8 2554933  3.0 3.13337287767626
8 1483852  5.0 3.1895654117238808
8 1581954  4.0 3.7660574120244776
8 1785017  2.0 2.6901874096621627
8 1265606  3.0 3.6530037460868
8 1213065  3.0 3.4035337202180203
8 898979  1.0 2.883322485335591
8 1490775  4.0 3.1900972086177632
8 2076079  1.0 2.8684036056368822
8 637631  3.0 2.849775360292411
8 1970495  3.0 3.502636662524214
8 1962300  2.0 3.7111633377428976
